filename,person,bicycle,car,motorbike,aeroplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,total
1306.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1307.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1308.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
131.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1311.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1312.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1313.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1316.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1319.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
132.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1320.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1321.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1322.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1324.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1325.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1326.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1327.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1329.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
133.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1334.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1339.jpg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
1342.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1343.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1344.jpg,2,0,1,0,0,0,0,0,0,0,0,0,0,3
1346.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1348.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1349.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1350.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1351.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1352.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1353.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1355.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1356.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1357.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1358.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
136.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1360.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
139.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
140.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
142.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
143.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
144.jpg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
146.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
147.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
149.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
150.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
152.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
153.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
154.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
155.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
156.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
157.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
158.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
159.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
160.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
161.jpg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
162.jpg,0,0,5,0,0,0,0,1,0,0,0,0,0,6
169.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
170.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
171.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
172.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
173.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
174.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
177.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
178.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
179.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
180.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
181.jpg,2,0,1,0,0,0,0,0,0,0,0,0,0,3
182.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
183.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
184.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
185.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
186.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
188.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
189.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
191.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
194.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
196.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
197.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
198.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
199.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
201.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
202.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
203.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
204.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
206.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
207.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
208.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
210.jpg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
214.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
215.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
217.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
218.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
220.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
221.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
223.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
224.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
225.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
226.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
227.jpg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
228.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
229.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
233.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
234.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
